epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5671.11,1.23587,0.65139,0.89613,0.86308,0.60729,0.66235,0.38082,1.40033,2.26169,0.87994,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5845.46,1.22322,0.64923,0.89422,0.83321,0.63627,0.71077,0.40756,1.38264,1.70156,0.8688,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6022.18,1.21686,0.64325,0.8939,0.82286,0.62273,0.68588,0.39467,1.40393,2.10753,0.87992,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6199.72,1.22253,0.6441,0.89542,0.87151,0.61405,0.70349,0.40669,1.36565,1.86456,0.87238,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6376.67,1.215,0.64018,0.89322,0.82424,0.62087,0.69249,0.40405,1.41029,2.06809,0.89404,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6553.13,1.2082,0.63739,0.89211,0.84292,0.60959,0.68634,0.40193,1.44169,1.94661,0.8781,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6727.32,1.20978,0.63451,0.89335,0.82308,0.62068,0.67376,0.39374,1.41169,2.34888,0.87919,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6900.94,1.21097,0.63387,0.89157,0.8534,0.60735,0.68421,0.40013,1.35637,2.19271,0.86634,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7074.29,1.20123,0.62945,0.88823,0.86296,0.62296,0.6967,0.4016,1.32256,1.85112,0.85742,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7248.84,1.20065,0.6329,0.89067,0.84097,0.63983,0.70047,0.40299,1.37509,1.83407,0.86258,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7424.1,1.20142,0.62764,0.88935,0.8543,0.60677,0.67387,0.39115,1.46477,2.20478,0.88016,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7598.68,1.19051,0.62545,0.88845,0.85896,0.61596,0.69226,0.4044,1.38282,2.00842,0.86888,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7773.09,1.19281,0.62523,0.88889,0.86482,0.61521,0.67385,0.39371,1.41261,2.13477,0.87749,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
