epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2160.59,1.21428,0.54614,0.90251,0.91443,0.83244,0.85556,0.50104,1.17654,0.48758,0.9144,0.000742625,0.000742625,0.000742625
43,2211.06,1.21518,0.54794,0.90051,0.92059,0.84524,0.86801,0.50512,1.18336,0.49365,0.91685,0.00073025,0.00073025,0.00073025
44,2263.06,1.21689,0.54728,0.90238,0.92788,0.82282,0.86437,0.50632,1.19933,0.49702,0.92155,0.000717875,0.000717875,0.000717875
45,2313.39,1.19647,0.53729,0.89957,0.90758,0.84277,0.86942,0.509,1.17928,0.49104,0.91589,0.0007055,0.0007055,0.0007055
46,2363.79,1.20417,0.53999,0.90184,0.90547,0.84229,0.86532,0.51313,1.16063,0.4785,0.91212,0.000693125,0.000693125,0.000693125
47,2416.09,1.20657,0.54148,0.90097,0.92101,0.84495,0.86637,0.50711,1.16013,0.47971,0.91296,0.00068075,0.00068075,0.00068075
48,2466.27,1.196,0.53552,0.89871,0.92173,0.83202,0.86504,0.50598,1.18819,0.48672,0.91782,0.000668375,0.000668375,0.000668375
49,2517.42,1.19065,0.53269,0.89644,0.92261,0.84209,0.86905,0.50697,1.16569,0.48286,0.91315,0.000656,0.000656,0.000656
50,2569.06,1.19127,0.53665,0.89804,0.90329,0.85071,0.86934,0.51151,1.18329,0.48922,0.9186,0.000643625,0.000643625,0.000643625
51,2619.63,1.18819,0.53318,0.89897,0.92504,0.85045,0.87095,0.50904,1.17964,0.48543,0.91817,0.00063125,0.00063125,0.00063125
52,2672.23,1.1787,0.52657,0.8949,0.92277,0.85612,0.87918,0.50983,1.16492,0.48037,0.91462,0.000618875,0.000618875,0.000618875
53,2722.56,1.19007,0.53047,0.89796,0.93435,0.84595,0.87289,0.50612,1.16959,0.47995,0.91518,0.0006065,0.0006065,0.0006065
54,2774.35,1.18775,0.53065,0.89781,0.92446,0.85594,0.87451,0.51684,1.16075,0.47126,0.91323,0.000594125,0.000594125,0.000594125
55,2826.13,1.18582,0.53047,0.89545,0.92531,0.84256,0.86507,0.49806,1.18249,0.48018,0.91677,0.00058175,0.00058175,0.00058175
56,2877.16,1.16677,0.52088,0.89408,0.90885,0.85151,0.8748,0.50988,1.16321,0.47957,0.91285,0.000569375,0.000569375,0.000569375
57,2930.46,1.17355,0.52408,0.89135,0.92542,0.84398,0.87435,0.51554,1.15955,0.47556,0.9126,0.000557,0.000557,0.000557
58,2981.12,1.17786,0.52249,0.89458,0.9222,0.86291,0.87906,0.51756,1.16782,0.47647,0.91575,0.000544625,0.000544625,0.000544625
59,3032.65,1.16756,0.51856,0.89191,0.93013,0.85143,0.87392,0.51107,1.17561,0.48354,0.91635,0.00053225,0.00053225,0.00053225
60,3084.24,1.16775,0.51789,0.89162,0.92216,0.84648,0.87184,0.51505,1.168,0.47611,0.91462,0.000519875,0.000519875,0.000519875
61,3134.59,1.16357,0.51743,0.89361,0.91893,0.85181,0.87132,0.51131,1.17038,0.47569,0.915,0.0005075,0.0005075,0.0005075
62,3186.98,1.15713,0.51283,0.89024,0.94053,0.83968,0.86892,0.50746,1.17313,0.47676,0.91437,0.000495125,0.000495125,0.000495125
63,3237.38,1.1654,0.5173,0.89412,0.92484,0.8523,0.87635,0.511,1.17095,0.46849,0.91489,0.00048275,0.00048275,0.00048275
64,3288.12,1.15401,0.51058,0.88974,0.91834,0.85351,0.86614,0.50579,1.17117,0.47207,0.91451,0.000470375,0.000470375,0.000470375
65,3339.83,1.15061,0.51299,0.8874,0.91502,0.85007,0.87321,0.51772,1.16347,0.46911,0.9143,0.000458,0.000458,0.000458
66,3390.83,1.14895,0.50654,0.88882,0.92128,0.84706,0.87274,0.5104,1.16972,0.47034,0.91503,0.000445625,0.000445625,0.000445625
67,3443.17,1.14114,0.50782,0.88585,0.92118,0.85574,0.87396,0.50853,1.17328,0.46928,0.91708,0.00043325,0.00043325,0.00043325
68,3493.83,1.14493,0.50497,0.88937,0.92536,0.84954,0.87008,0.50851,1.16771,0.4673,0.91467,0.000420875,0.000420875,0.000420875
69,3545.13,1.13879,0.50266,0.88723,0.92338,0.85023,0.87492,0.5108,1.17791,0.47192,0.9177,0.0004085,0.0004085,0.0004085
70,3596.82,1.12965,0.50087,0.88312,0.93001,0.85769,0.87676,0.50922,1.17744,0.47286,0.91683,0.000396125,0.000396125,0.000396125
71,3647.58,1.13091,0.50127,0.88217,0.91085,0.85847,0.87096,0.50804,1.17026,0.46913,0.91559,0.00038375,0.00038375,0.00038375
72,3700.18,1.13377,0.50229,0.88276,0.92531,0.85496,0.88192,0.50697,1.16401,0.46605,0.91439,0.000371375,0.000371375,0.000371375
73,3750.65,1.13527,0.5009,0.88313,0.92103,0.8561,0.87155,0.51039,1.15996,0.4622,0.91298,0.000359,0.000359,0.000359
74,3801.78,1.12644,0.49776,0.88602,0.93565,0.84828,0.87126,0.51076,1.16288,0.46281,0.91513,0.000346625,0.000346625,0.000346625
75,3853.51,1.11358,0.49229,0.8796,0.92687,0.84208,0.87309,0.5114,1.1707,0.46711,0.91629,0.00033425,0.00033425,0.00033425
76,3904.13,1.12029,0.49164,0.88546,0.92576,0.85561,0.86886,0.51157,1.16128,0.4646,0.91338,0.000321875,0.000321875,0.000321875
77,3956.03,1.11997,0.49641,0.88218,0.92141,0.85009,0.86529,0.50665,1.17418,0.46915,0.91662,0.0003095,0.0003095,0.0003095
78,4007.58,1.11464,0.49304,0.88194,0.93998,0.84403,0.87131,0.50834,1.17442,0.46795,0.91793,0.000297125,0.000297125,0.000297125
79,4058.35,1.11038,0.49004,0.88156,0.92049,0.84926,0.8712,0.50784,1.17117,0.46943,0.916,0.00028475,0.00028475,0.00028475
80,4111.17,1.10835,0.48953,0.87939,0.91828,0.84679,0.87367,0.50775,1.16749,0.46377,0.91519,0.000272375,0.000272375,0.000272375
81,4162.01,1.1052,0.48994,0.88062,0.93515,0.83808,0.86881,0.5139,1.1656,0.46925,0.91465,0.00026,0.00026,0.00026
82,4214.73,1.10145,0.48515,0.87974,0.91154,0.85765,0.87258,0.51318,1.16798,0.46494,0.91613,0.000247625,0.000247625,0.000247625
83,4265.61,1.09528,0.48415,0.87713,0.92744,0.83549,0.86107,0.50719,1.17108,0.4667,0.91575,0.00023525,0.00023525,0.00023525
